species,gear_type,start_date,spec_num,id_genetics,TL,wgt,sex,gonad_stage,gonad_wgt,lat,lon,site_1,site_2,gene,otoliths
Lates calcarifer,Unknown,3/5/2017,BA170503-01,NA,713,NA,f,NA,NA,NA,NA,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Unknown,3/5/2017,BA170503-02,NA,765,NA,m,NA,NA,NA,NA,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Unknown,3/5/2017,BA170503-03,NA,815,NA,NA,NA,NA,NA,NA,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Gillnet,4/5/2017,BA170504-01,NA,810,NA,f,2,NA,-15.60156944,125.2883388888889,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Gillnet,4/5/2017,BA170504-02,NA,850,NA,f,2,NA,-15.60156944,125.2883388888889,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Gillnet,4/5/2017,BA170504-03,NA,650,NA,m,NA,NA,-15.60156944,125.2883388888889,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Gillnet,4/5/2017,BA170504-04,NA,710,NA,m,2,NA,-15.60156944,125.2883388888889,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Gillnet,4/5/2017,BA170504-05,NA,740,NA,NA,2,NA,-15.60156944,125.2883388888889,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Gillnet,5/5/2017,BA170505-01,NA,862,NA,f,2,NA,-15.6253,125.31772708333334,Lower Prince Regent,St George Basin,TRUE,1
Lates calcarifer,Gillnet,5/5/2017,BA170505-02,NA,761,NA,f,2,NA,-15.6253,125.31772708333334,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Gillnet,5/5/2017,BA170505-03,NA,795,NA,f,NA,NA,-15.6253,125.31772708333334,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Gillnet,5/5/2017,BA170505-04,NA,923,NA,f,2,NA,-15.6253,125.31772708333334,Lower Prince Regent,St George Basin,TRUE,2
Lates calcarifer,Gillnet,5/5/2017,BA170505-05,NA,856,NA,m,2,NA,-15.6253,125.31772708333334,Lower Prince Regent,St George Basin,TRUE,2
