Run,Pop,Lineage,Path
DRR111142,PNG,AUS+NG,bams/DRR111142.sort.flt.bam
DRR111166,AUW,AUS+NG,bams/DRR111166.sort.flt.bam
DRR111127,AUE,AUS+NG,bams/DRR111127.sort.flt.bam
DRR111176,AUW,AUS+NG,bams/DRR111176.sort.flt.bam
DRR111154,PNG,AUS+NG,bams/DRR111154.sort.flt.bam
DRR111137,AUE,AUS+NG,bams/DRR111137.sort.flt.bam
DRR111170,AUW,AUS+NG,bams/DRR111170.sort.flt.bam
DRR111140,PNG,AUS+NG,bams/DRR111140.sort.flt.bam
DRR111171,AUW,AUS+NG,bams/DRR111171.sort.flt.bam
DRR111174,AUW,AUS+NG,bams/DRR111174.sort.flt.bam
DRR111179,AUW,AUS+NG,bams/DRR111179.sort.flt.bam
SRR3165595,India Eastern Coast,IND,data/split/SRR3165595.sort.flt.bam
SRR3183258,India Western Coast,IND,data/split/SRR3183258.sort.flt.bam
SRR3183256,India Eastern Coast,IND,data/split/SRR3183256.sort.flt.bam
SRR3183261,India Western Coast,IND,data/split/SRR3183261.sort.flt.bam
SRR3183253,India Eastern Coast,IND,data/split/SRR3183253.sort.flt.bam
SRR3183260,India Western Coast,IND,data/split/SRR3183260.sort.flt.bam
SRR3183255,India Eastern Coast,IND,data/split/SRR3183255.sort.flt.bam
SRR3183259,India Western Coast,IND,data/split/SRR3183259.sort.flt.bam
SRR3165594,India Eastern Coast,IND,data/split/SRR3165594.sort.flt.bam
SRR3183257,India Eastern Coast,IND,data/split/SRR3183257.sort.flt.bam
SRR3183252,India Eastern Coast,IND,data/split/SRR3183252.sort.flt.bam
DRR111230,MAL,SEA,bams/DRR111230.sort.flt.bam
DRR111259,THA,SEA,bams/DRR111259.sort.flt.bam
DRR111200,INA,SEA,bams/DRR111200.sort.flt.bam
DRR111197,INA,SEA,bams/DRR111197.sort.flt.bam
DRR111209,INA,SEA,bams/DRR111209.sort.flt.bam
DRR111262,THA,SEA,bams/DRR111262.sort.flt.bam
DRR111227,MAL,SEA,bams/DRR111227.sort.flt.bam
DRR111249,THA,SEA,bams/DRR111249.sort.flt.bam
DRR111194,INA,SEA,bams/DRR111194.sort.flt.bam
DRR111226,MAL,SEA,bams/DRR111226.sort.flt.bam
DRR111256,THA,SEA,bams/DRR111256.sort.flt.bam
