Run,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,estimated_size,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isol_growth_condt,Isolate,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,num_replicons,Organism,Platform,Ploidy,project_name,propagation,ReleaseDate,Sample Name,Sample_Name,SRA Study,create_date,version
DRR111126,RAD-Seq,280,2592311400,AVA,PRJDB3890,SAMD00099252,MIGS.eu,1274068007,TEMASEK,2007,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,missing,DRX104193,Australia,Oceania,Australia,NextSeq 500,missing,sample_02,18.41 S 146.64 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099252,sample_02,DRP003286,2017-12-07T21:32:00Z,1
DRR111127,RAD-Seq,280,2116679040,AVA,PRJDB3890,SAMD00099253,MIGS.eu,1015823966,TEMASEK,2007,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,missing,DRX104194,Australia,Oceania,Australia,NextSeq 500,missing,sample_03,18.41 S 146.64 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099253,sample_03,DRP003286,2017-12-07T21:26:00Z,1
DRR111128,RAD-Seq,280,2516307920,AVA,PRJDB3890,SAMD00099254,MIGS.eu,1197034882,TEMASEK,2007,public,"run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,missing,DRX104195,Australia,Oceania,Australia,NextSeq 500,missing,sample_04,18.41 S 146.64 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099254,sample_04,DRP003286,2017-12-07T21:14:00Z,1
DRR111129,RAD-Seq,280,2449169520,AVA,PRJDB3890,SAMD00099255,MIGS.eu,1166851596,TEMASEK,2007,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,missing,DRX104196,Australia,Oceania,Australia,NextSeq 500,missing,sample_05,18.41 S 146.64 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099255,sample_05,DRP003286,2017-12-07T21:23:00Z,1
DRR111130,RAD-Seq,280,2476472600,AVA,PRJDB3890,SAMD00099256,MIGS.eu,1216912764,TEMASEK,2007,public,"sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",missing,missing,missing,missing,DRX104197,Australia,Oceania,Australia,NextSeq 500,missing,sample_06,18.41 S 146.64 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099256,sample_06,DRP003286,2017-12-07T21:13:00Z,1
DRR111132,RAD-Seq,280,828872520,AVA,PRJDB3890,SAMD00099258,MIGS.eu,416059909,TEMASEK,2007,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,missing,DRX104199,Australia,Oceania,Australia,NextSeq 500,missing,sample_17,18.41 S 146.64 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099258,sample_17,DRP003286,2017-12-07T21:19:00Z,1
DRR111133,RAD-Seq,280,829068800,AVA,PRJDB3890,SAMD00099259,MIGS.eu,404934236,TEMASEK,2007,public,"sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,missing,DRX104200,Australia,Oceania,Australia,NextSeq 500,missing,sample_18,18.41 S 146.64 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099259,sample_18,DRP003286,2017-12-07T21:21:00Z,1
DRR111137,RAD-Seq,280,849661680,AVA,PRJDB3890,SAMD00099263,MIGS.eu,417854613,TEMASEK,2007,public,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",missing,missing,missing,missing,DRX104204,Australia,Oceania,Australia,NextSeq 500,missing,sample_29,18.41 S 146.64 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099263,sample_29,DRP003286,2017-12-07T21:12:00Z,1
DRR111139,RAD-Seq,280,2278107440,AVA,PRJDB3890,SAMD00099265,MIGS.eu,1075948332,TEMASEK,2007,public,"sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",missing,missing,missing,missing,DRX104206,Papua New Guinea,Oceania,Papua New Guinea,NextSeq 500,missing,sample_37,9.42 S 140.93 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099265,sample_37,DRP003286,2017-12-07T21:21:00Z,1
DRR111141,RAD-Seq,280,1770466600,AVA,PRJDB3890,SAMD00099267,MIGS.eu,849914309,TEMASEK,2007,public,"sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",missing,missing,missing,missing,DRX104208,Papua New Guinea,Oceania,Papua New Guinea,NextSeq 500,missing,sample_39,9.42 S 140.93 E,GBS_1,PAIRED,Restriction Digest,GENOMIC,1,Lates calcarifer,ILLUMINA,diploid,Assessment of genetic diversity of Asianseabass,sexual,2017-11-21T00:00:00Z,SAMD00099267,sample_39,DRP003286,2017-12-07T21:17:00Z,1
