Region,Locality,Count
Bangladesh,Bakhkhali River,2
Cambodia,NA,5
India East Coast,Pazhayar-TamilNadu,7
India West Coast,Mumbai,4
Indonesia-K,Samarinda,5
Indonesia-SJ,South of Jakarta,5
Indonesia-SU,South of Jakarta,1
Mainstream,Mainstream,12
Myanmar,river estuaries between Yangon and Sittang,4
Northern Territory,Darwin Harbour,6
OceanPick,OceanPick,10
Papua New Guinea,Fly River,5
Philippines,Luzon,5
Queensland,Hinchinbrook Channel,6
Sri Lanka,Jaffna Fish Market,2
Sri Lanka,Mannar Fish Market,5
Sri Lanka,"Trinco Fish Market - ""Pullmodai""",3
Taiwan,Tamsui River,11
Thailand,EC,7
Vietnam,NA,2
Western Australia,Broome,10
Western Australia,Fitzroy River,1
