Run,BioSample,Sample,Region,Locality,Aligned,Filtered,Coverage,Path,Lineage,DataDir,NewPath,Source,NewBioProject,New BioSample,New Accession
SRR3165618,SAMN04482561,SRS1284061,Northern Territory,Darwin Harbour,43311444,42229480,6.27037,data/split/SRR3165618.sort.flt.bam,AUS,NA,data/split/SRR3165618.sort.flt.bam,Existing,,,
SRR3165619,SAMN04482562,SRS1284062,Northern Territory,Darwin Harbour,38046019,37284074,5.53852,data/split/SRR3165619.sort.flt.bam,AUS,NA,data/split/SRR3165619.sort.flt.bam,Existing,,,
SRR3165620,SAMN04482563,SRS1284063,Northern Territory,Darwin Harbour,34569503,33794982,5.02076,data/split/SRR3165620.sort.flt.bam,AUS,NA,data/split/SRR3165620.sort.flt.bam,Existing,,,
SRR3165621,SAMN04482564,SRS1284064,Northern Territory,Darwin Harbour,43100095,42194909,6.26656,data/split/SRR3165621.sort.flt.bam,AUS,NA,data/split/SRR3165621.sort.flt.bam,Existing,,,
SRR3165622,SAMN04482565,SRS1284065,Northern Territory,Darwin Harbour,42833880,41944785,6.23001,data/split/SRR3165622.sort.flt.bam,AUS,NA,data/split/SRR3165622.sort.flt.bam,Existing,,,
SRR3165623,SAMN04482566,SRS1284066,Northern Territory,Darwin Harbour,37564845,36718029,5.45181,data/split/SRR3165623.sort.flt.bam,AUS,NA,data/split/SRR3165623.sort.flt.bam,Existing,,,
SRR3165629,SAMN04482572,SRS1284073,Queensland,Hinchinbrook Channel,42727945,41919976,6.22876,data/split/SRR3165629.sort.flt.bam,AUS,NA,data/split/SRR3165629.sort.flt.bam,Existing,,,
SRR3165630,SAMN04482573,SRS1284074,Queensland,Hinchinbrook Channel,36057176,35316921,5.24624,data/split/SRR3165630.sort.flt.bam,AUS,NA,data/split/SRR3165630.sort.flt.bam,Existing,,,
SRR3165631,SAMN04482574,SRS1284075,Queensland,Hinchinbrook Channel,32689855,32071955,4.76502,data/split/SRR3165631.sort.flt.bam,AUS,NA,data/split/SRR3165631.sort.flt.bam,Existing,,,
SRR3165632,SAMN04482575,SRS1284076,Queensland,Hinchinbrook Channel,33950939,33297017,4.9482,data/split/SRR3165632.sort.flt.bam,AUS,NA,data/split/SRR3165632.sort.flt.bam,Existing,,,
SRR3165633,SAMN04482576,SRS1284077,Queensland,Hinchinbrook Channel,34206590,33484747,4.974,data/split/SRR3165633.sort.flt.bam,AUS,NA,data/split/SRR3165633.sort.flt.bam,Existing,,,
SRR3165634,SAMN04482577,SRS1284078,Queensland,Hinchinbrook Channel,40549352,39725840,5.90283,data/split/SRR3165634.sort.flt.bam,AUS,NA,data/split/SRR3165634.sort.flt.bam,Existing,,,
SRR3165594,SAMN04482519,SRS1283157,India East Coast,Pazhayar-TamilNadu,58581162,35621885,5.24485,data/split/SRR3165594.sort.flt.bam,IND,NA,data/split/SRR3165594.sort.flt.bam,Existing,,,
SRR3165595,SAMN04482520,SRS1283158,India East Coast,Pazhayar-TamilNadu,50287963,48223515,7.15998,data/split/SRR3165595.sort.flt.bam,IND,NA,data/split/SRR3165595.sort.flt.bam,Existing,,,
SRR3183253,SAMN04482522,SRS1284022,India East Coast,Pazhayar-TamilNadu,63984970,57917391,11.8196,data/split/SRR3183253.sort.flt.bam,IND,NA,data/split/SRR3183253.sort.flt.bam,Existing,,,
SRR3183255,SAMN04482523,SRS1284023,India East Coast,Pazhayar-TamilNadu,38650072,33515505,6.83614,data/split/SRR3183255.sort.flt.bam,IND,NA,data/split/SRR3183255.sort.flt.bam,Existing,,,
SRR3183256,SAMN04482524,SRS1284024,India East Coast,Pazhayar-TamilNadu,48796326,36968633,7.52759,data/split/SRR3183256.sort.flt.bam,IND,NA,data/split/SRR3183256.sort.flt.bam,Existing,,,
SRR3183257,SAMN04482525,SRS1284025,India East Coast,Pazhayar-TamilNadu,45634612,41086834,8.46042,data/split/SRR3183257.sort.flt.bam,IND,NA,data/split/SRR3183257.sort.flt.bam,Existing,,,
SRR3183258,SAMN04482526,SRS1284026,India West Coast,Mumbai,196695055,178632224,34.8059,data/split/SRR3183258.sort.flt.bam,IND,NA,data/downsample/SRR3183258.reduced.bam,Existing,,,
SRR3183259,SAMN04482527,SRS1284027,India West Coast,Mumbai,143785172,133091074,25.5825,data/split/SRR3183259.sort.flt.bam,IND,NA,data/downsample/SRR3183259.reduced.bam,Existing,,,
SRR3183260,SAMN04482528,SRS1284028,India West Coast,Mumbai,52601809,49606529,10.5794,data/split/SRR3183260.sort.flt.bam,IND,NA,data/split/SRR3183260.sort.flt.bam,Existing,,,
SRR3183261,SAMN04482529,SRS1284029,India West Coast,Mumbai,51249916,47169202,9.92069,data/split/SRR3183261.sort.flt.bam,IND,NA,data/split/SRR3183261.sort.flt.bam,Existing,,,
SRR3165613,SAMN04482556,SRS1284056,Indonesia-K,Samarinda,33294808,31924152,4.73449,data/split/SRR3165613.sort.flt.bam,WAL,NA,data/split/SRR3165613.sort.flt.bam,Existing,,,
SRR3165614,SAMN04482557,SRS1284057,Indonesia-K,Samarinda,36112330,35209985,5.22582,data/split/SRR3165614.sort.flt.bam,WAL,NA,data/split/SRR3165614.sort.flt.bam,Existing,,,
SRR3165615,SAMN04482558,SRS1284058,Indonesia-K,Samarinda,39202344,38378631,5.69962,data/split/SRR3165615.sort.flt.bam,WAL,NA,data/split/SRR3165615.sort.flt.bam,Existing,,,
SRR3165616,SAMN04482559,SRS1284059,Indonesia-K,Samarinda,44105489,43004573,6.38517,data/split/SRR3165616.sort.flt.bam,WAL,NA,data/split/SRR3165616.sort.flt.bam,Existing,,,
