Run,Pop,Lineage,Path
DRR111147,PNG,AUS+NG,bams/DRR111147.sort.flt.bam
DRR111137,AUE,AUS+NG,bams/DRR111137.sort.flt.bam
DRR111139,PNG,AUS+NG,bams/DRR111139.sort.flt.bam
DRR111169,AUW,AUS+NG,bams/DRR111169.sort.flt.bam
DRR111125,AUE,AUS+NG,bams/DRR111125.sort.flt.bam
DRR111142,PNG,AUS+NG,bams/DRR111142.sort.flt.bam
DRR111127,AUE,AUS+NG,bams/DRR111127.sort.flt.bam
DRR111136,AUE,AUS+NG,bams/DRR111136.sort.flt.bam
DRR111140,PNG,AUS+NG,bams/DRR111140.sort.flt.bam
DRR111178,AUW,AUS+NG,bams/DRR111178.sort.flt.bam
DRR111144,PNG,AUS+NG,bams/DRR111144.sort.flt.bam
DRR111151,PNG,AUS+NG,bams/DRR111151.sort.flt.bam
DRR111138,AUE,AUS+NG,bams/DRR111138.sort.flt.bam
DRR111168,AUW,AUS+NG,bams/DRR111168.sort.flt.bam
DRR111179,AUW,AUS+NG,bams/DRR111179.sort.flt.bam
DRR111126,AUE,AUS+NG,bams/DRR111126.sort.flt.bam
DRR111131,AUE,AUS+NG,bams/DRR111131.sort.flt.bam
DRR111171,AUW,AUS+NG,bams/DRR111171.sort.flt.bam
DRR111183,AUW,AUS+NG,bams/DRR111183.sort.flt.bam
DRR111185,AUW,AUS+NG,bams/DRR111185.sort.flt.bam
DRR111269,THA,SEA,bams/DRR111269.sort.flt.bam
DRR111230,MAL,SEA,bams/DRR111230.sort.flt.bam
DRR111236,MAL,SEA,bams/DRR111236.sort.flt.bam
DRR111227,MAL,SEA,bams/DRR111227.sort.flt.bam
DRR111265,THA,SEA,bams/DRR111265.sort.flt.bam
DRR111199,INA,SEA,bams/DRR111199.sort.flt.bam
DRR111246,THA,SEA,bams/DRR111246.sort.flt.bam
DRR111264,THA,SEA,bams/DRR111264.sort.flt.bam
DRR111224,MAL,SEA,bams/DRR111224.sort.flt.bam
DRR111223,MAL,SEA,bams/DRR111223.sort.flt.bam
DRR111268,THA,SEA,bams/DRR111268.sort.flt.bam
DRR111258,THA,SEA,bams/DRR111258.sort.flt.bam
DRR111240,MAL,SEA,bams/DRR111240.sort.flt.bam
DRR111197,INA,SEA,bams/DRR111197.sort.flt.bam
DRR111231,MAL,SEA,bams/DRR111231.sort.flt.bam
DRR111239,MAL,SEA,bams/DRR111239.sort.flt.bam
DRR111238,MAL,SEA,bams/DRR111238.sort.flt.bam
DRR111213,INA,SEA,bams/DRR111213.sort.flt.bam
DRR111229,MAL,SEA,bams/DRR111229.sort.flt.bam
DRR111273,THA,SEA,bams/DRR111273.sort.flt.bam
SRR3165594,India Eastern Coast,IND,data/split/SRR3165594.sort.flt.bam
SRR3165595,India Eastern Coast,IND,data/split/SRR3165595.sort.flt.bam
SRR3183253,India Eastern Coast,IND,data/split/SRR3183253.sort.flt.bam
SRR3183255,India Eastern Coast,IND,data/split/SRR3183255.sort.flt.bam
SRR3183256,India Eastern Coast,IND,data/split/SRR3183256.sort.flt.bam
SRR3183257,India Eastern Coast,IND,data/split/SRR3183257.sort.flt.bam
SRR3183258,India Western Coast,IND,data/split/SRR3183258.sort.flt.bam
SRR3183259,India Western Coast,IND,data/split/SRR3183259.sort.flt.bam
SRR3183260,India Western Coast,IND,data/split/SRR3183260.sort.flt.bam
SRR3183261,India Western Coast,IND,data/split/SRR3183261.sort.flt.bam
SRR3183252,India Eastern Coast,IND,data/split/SRR3183252.sort.flt.bam
