Isolate,Pop
sample_01,AUE
sample_02,AUE
sample_03,AUE
sample_04,AUE
sample_05,AUE
sample_06,AUE
sample_16,AUE
sample_17,AUE
sample_18,AUE
sample_25,AUE
sample_26,AUE
sample_27,AUE
sample_29,AUE
sample_30,AUE
sample_164,AUW
sample_165,AUW
sample_166,AUW
sample_167,AUW
sample_168,AUW
sample_169,AUW
sample_170,AUW
sample_171,AUW
sample_172,AUW
sample_173,AUW
sample_174,AUW
sample_175,AUW
sample_176,AUW
sample_177,AUW
sample_178,AUW
sample_179,AUW
sample_180,AUW
sample_181,AUW
sample_182,AUW
sample_184,AUW
sample_187,AUW
sample_84,AUW
sample_37,PNG
sample_38,PNG
sample_39,PNG
sample_40,PNG
sample_41,PNG
sample_42,PNG
sample_43,PNG
sample_44,PNG
sample_45,PNG
sample_46,PNG
sample_47,PNG
sample_48,PNG
sample_55,PNG
sample_56,PNG
sample_57,PNG
sample_58,PNG
sample_59,PNG
sample_60,PNG
